Batter,Type,R,B,4s,6s,SR
Raza Iqbal, c Turner b Weldon ,9,6,2,0,150.00
Umair Rasool, c Weldon b Bulow ,6,3,1,0,200.00
Walid Ghauri, c Laegsgaard b Bulow ,12,7,1,1,171.43
Chaudhary Akram, c Mahmood b Anand ,22,11,2,2,200.00
Mirza Anwar, c Peck b Laegsgaard ,6,4,0,1,150.00
Nasrat Bismillah, c Laegsgaard b Peck ,12,5,0,2,240.00
Abdullah Raja, c Hayat b Anand ,8,4,2,0,200.00
Aamir Naseem, c Weldon b Amjad ,5,6,0,0,83.33
Syed Abbas, s Turner b Peck ,0,1,0,0,0.00
Rizwan Bhatti(WK), c&b Peck  ,2,6,0,0,33.33
Mofassar Saeed(C), NOT OUT ,6,3,0,1,200.00
