Batter,Type,R,B,4s,6s,SR
Grace Harris, lbw b Kanwar  ,25,30,3,0,83.33
Kiran Prabhu Navgire, c Litchfield b Dottin ,0,1,0,0,0.00
Georgia Voll, b Dottin  ,0,3,0,0,0.00
Dinesh Vrinda, b Gautam  ,1,3,0,0,33.33
Deepti Sharma(C), c Mooney b Singh ,6,9,0,0,66.67
Shweta Sehrawat, c Litchfield b Gardner ,5,8,0,0,62.50
Uma Chetry(WK), c Kanwar b Gautam ,17,22,1,0,77.27
Chinelle Henry, c Litchfield b Kanwar ,28,14,3,2,200.00
Sophie Ecclestone, b Kanwar  ,14,10,0,1,140.00
Gouher Sultana, c Mooney b Gautam ,0,1,0,0,0.00
Kranti Goud, NOT OUT ,0,2,0,0,0.00
