Batter,Type,R,B,4s,6s,SR
Nicolaj Laegsgaard, c Sidharthan b Pushparajan ,25,15,2,2,166.67
Shangeev Thanikaithasan, c Prasath b Sidharthan ,17,8,2,1,212.50
Rizwan Mahmood(C), c Sudarsanan b Paul ,19,5,0,3,380.00
Kamran Mahmood, c Prasath b Paul ,1,2,0,0,50.00
Anders Bulow, c&b Pushparajan  ,2,4,0,0,50.00
Surya Anand, b Prasath  ,28,10,0,4,280.00
Omar Hayat, c Pushparajan b Prasath ,0,2,0,0,0.00
Torr Turner(WK), NOT OUT ,8,8,0,0,100.00
Christian Peck, s Sudarsanan b Prasath ,0,0,0,0,0.00
Matthew Weldon, NOT OUT ,18,6,1,2,300.00
